CnvRegion	CnvGene	ExpGene	Cor	Cor.pvalue	Z_value
SIPA1L1	SIPA1L1	SIPA1L1	0.514043434652584	3.39854690011174e-18	0.568209937033255
DTX4	DTX4	DTX4	0.0171930117553071	0.787194107329651	0.0171947061386035
ATG7	ATG7	ATG7	0.418028285083947	5.95019299429558e-12	0.445300403655551
MRPS23	MRPS23	MRPS23	0.536831797826578	5.47259713966141e-20	0.599694013214468
ANAPC16	ANAPC16	ANAPC16	0.565512937703196	1.90245197876182e-22	0.64090131840232
MRPL16	MRPL16	MRPL16	0.445923303075784	1.43862102115474e-13	0.479600120647832
PIF1	PIF1	PIF1	0.319916478269927	2.48251667595108e-07	0.331554061419655
RPL36AL	RPL36AL	RPL36AL	0.396065251578053	8.84279242267898e-11	0.418973432181573
RASSF3	RASSF3	RASSF3	0.00505973464505252	0.936682625430954	0.00505977782366068
B4GALT4	B4GALT4	B4GALT4	0.432037981226752	9.57530288414904e-13	0.462399661121745
VRK2	VRK2	VRK2	0.406464783440813	2.52509120024982e-11	0.431369019904062
DSTN	DSTN	DSTN	0.331916836477775	8.13791917804639e-08	0.344980875998029
ZNF558	ZNF558	ZNF558	0.512973922718947	4.09433735303983e-18	0.566757404866296
SMEK1	SMEK1	SMEK1	0.63443699809658	1.89242406615613e-29	0.748807522097672
CLCN3	CLCN3	CLCN3	0.428700921034341	1.49096018049873e-12	0.458304004990321
ZNF532	ZNF532	ZNF532	0.455199763643075	3.86154823697131e-14	0.491239638052377
FXYD5	FXYD5	FXYD5	0.19306028779492	0.00221373957296831	0.195513998010851
KIF18A	KIF18A	KIF18A	0.313000126893134	4.62011764864116e-07	0.323867931715144
NAA35	NAA35	NAA35	0.670160238942602	7.90516950515616e-34	0.811033944145866
CAMLG	CAMLG	CAMLG	0.554414862075849	1.81522120536362e-21	0.624733062103972
NICN1	NICN1	NICN1	0.394194368821526	1.10285979644878e-10	0.416756410024666
ECI2	ECI2	ECI2	0.651889211098972	1.62705212269387e-31	0.778577050156313
MALSU1	MALSU1	MALSU1	0.692166621555541	7.63450607583158e-37	0.852103176949602
ZNF697	ZNF697	ZNF697	0.401640143395455	4.54096119460337e-11	0.425603010517198
USP38	USP38	USP38	0.620525237869826	6.77998905037722e-28	0.725858752456008
ZBTB38	ZBTB38	ZBTB38	0.295523085981135	2.07227827944662e-06	0.304607129243429
KIAA1279	KIAA1279	KIAA1279	0.587436960655462	1.70612705861578e-24	0.673743501701546
E2F2	E2F2	E2F2	0.476636022234946	1.58039399421112e-15	0.518622328760027
NEIL3	NEIL3	NEIL3	0.220253680561479	0.000463255694389709	0.223922707851484
GEM	GEM	GEM	0.249177097492504	7.03665501795358e-05	0.254535241557622
ZNF277	ZNF277	ZNF277	0.652676997541275	1.30299583715228e-31	0.779948242569529
KAT7	KAT7	KAT7	0.479462345584594	1.0195578133863e-15	0.522285896265107
WDR4	WDR4	WDR4	0.404502451376346	3.20948366643498e-11	0.429020559814936
CCT6P1	CCT6P1	CCT6P1	0.101258910964068	0.110958846238448	0.101607137377341
ARL5A	ARL5A	ARL5A	0.418275380235769	5.76571315338674e-12	0.445599858834203
HADHB	HADHB	HADHB	0.267167290196754	1.93263485248384e-05	0.273810879481326
DPH1	DPH1	DPH1	0.565132278836828	2.05838146434585e-22	0.640341863528344
C22orf23	C22orf23	C22orf23	0.235056612730894	0.000181802703695059	0.239535130380517
ZNF302	ZNF302	ZNF302	0.611204232758809	6.75764382965029e-27	0.710841481621909
MKNK1	MKNK1	MKNK1	0.270734487013724	1.47899697591581e-05	0.277656233734467
KLF7	KLF7	KLF7	0.269964917143663	1.56736804495637e-05	0.276825981539893
PKIA	PKIA	PKIA	0.105199225851616	0.0976687941924062	0.105589898904914
LRFN3	LRFN3	LRFN3	0.862193413125769	6.55919358598817e-75	1.30182958430804
KIAA0922	KIAA0922	KIAA0922	0.207378034903732	0.000995617677257626	0.210429990524535
GBP1P1	GBP1P1	GBP1P1	0.138458608472355	0.0289344652091976	0.139353713976021
FNDC1	FNDC1	FNDC1	0.27920764806737	7.71561825408526e-06	0.286822522289865
HADHA	HADHA	HADHA	0.541276855723318	2.35714793953258e-20	0.605959811197908
MBOAT1	MBOAT1	MBOAT1	0.280857819044221	6.78014907858735e-06	0.288613108603076
MKL2	MKL2	MKL2	0.330292539829361	9.49081354770983e-08	0.343156580681672
CMIP	CMIP	CMIP	0.223195485648835	0.000386521144921562	0.227016617784311
BET1	BET1	BET1	0.721820617142276	2.31083994212368e-41	0.911435670327477
CHTOP	CHTOP	CHTOP	0.815522617858359	1.32899606996607e-60	1.14330089151356
POMT2	POMT2	POMT2	0.698506492423143	9.18964866087287e-38	0.864378063922448
ZNF608	ZNF608	ZNF608	-0.00285047393226308	0.964303801114699	-0.00285048165252585
MARCH9	MARCH9	MARCH9	0.795132037308802	1.41792785822688e-55	1.08523408470633
HEBP2	HEBP2	HEBP2	0.625815548337304	1.77593796986279e-28	0.734507991332039
RBM4	RBM4	RBM4	0.441380711125567	2.70017631523045e-13	0.473944288349516
C2orf47	C2orf47	C2orf47	0.563857109039722	2.67801145003726e-22	0.638470316603915
MORC3	MORC3	MORC3	0.521142125510884	9.70790222805845e-19	0.577906444813886
DNAJB4	DNAJB4	DNAJB4	0.320956895177599	2.25798926547365e-07	0.332713532597988
TSC2	TSC2	TSC2	0.545739850037106	9.99114907203383e-21	0.612293945290251
TAOK1	TAOK1	TAOK1	0.479972461095283	9.41603574450896e-16	0.522948494805834
AGO3	AGO3	AGO3	0.348764122836427	1.56531631804304e-08	0.36403604023907
DTNBP1	DTNBP1	DTNBP1	0.3544232655689	8.79963383762573e-09	0.370493464629747
EPB41L3	EPB41L3	EPB41L3	0.204649273658347	0.00116423238303444	0.207580280887457
COL6A3	COL6A3	COL6A3	0.181466385371716	0.00406627462122645	0.183498590436461
MICAL2	MICAL2	MICAL2	0.257222095198807	3.99441491258152e-05	0.26313139824265
FTH1P7	FTH1P7	FTH1P7	0.0258524359872078	0.684772165636479	0.0258581977763906
GTF3C1	GTF3C1	GTF3C1	0.541465133410566	2.27390723723593e-20	0.606226147373851
ASB7	ASB7	ASB7	0.700755377102828	4.27877905917251e-38	0.868783197573976
UBR7	UBR7	UBR7	0.548732541159162	5.57855768885454e-21	0.616565980584932
STK17A	STK17A	STK17A	0.378417102306595	6.72896529010909e-10	0.398210903593099
SP4	SP4	SP4	0.626565622946774	1.46566226455654e-28	0.735741899693258
RAC2	RAC2	RAC2	0.0365096707304216	0.566370324785526	0.0365259056455691
EEFSEC	EEFSEC	EEFSEC	0.52099784359137	9.96122582522783e-19	0.57770838760171
C4orf27	C4orf27	C4orf27	0.659352226546059	1.93172956084558e-32	0.791666779595851
TRPC1	TRPC1	TRPC1	0.310910877895926	5.55658798385627e-07	0.321553444311861
C14orf159	C14orf159	C14orf159	0.291765165417138	2.82563311422661e-06	0.300494590673732
RNF41	RNF41	RNF41	0.824605644752353	4.76859019833412e-63	1.17104113017396
MAGI3	MAGI3	MAGI3	0.31906267979287	2.68263709285627e-07	0.330603205589344
FDX1	FDX1	FDX1	0.42537888049857	2.30583801388587e-12	0.454241018704023
MLKL	MLKL	MLKL	0.251381386368529	6.03660722555727e-05	0.256886834728608
RHOBTB1	RHOBTB1	RHOBTB1	0.369993834354316	1.69984543685759e-09	0.388415956131936
TUBG2	TUBG2	TUBG2	0.411669178318857	1.32654645756177e-11	0.43761934301701
PPME1	PPME1	PPME1	0.570457439495423	6.7745894056177e-23	0.64820069449165
TRIM23	TRIM23	TRIM23	0.582406401803903	5.19357750621048e-24	0.666096650014447
MIER2	MIER2	MIER2	0.524062099327872	5.74867452018836e-19	0.581923549029532
LASP1	LASP1	LASP1	0.107429361138377	0.0907268931897138	0.107845529955786
C12orf73	C12orf73	C12orf73	0.795295717830352	1.29893282371535e-55	1.08567931048417
MIA3	MIA3	MIA3	0.588436101565078	1.36454071226813e-24	0.67527046872867
SPRED1	SPRED1	SPRED1	0.0718365981496888	0.258763591490487	0.071960553023649
SSPN	SSPN	SSPN	0.206864810743001	0.00102550446099874	0.20989376255404
MTMR10	MTMR10	MTMR10	0.502396371531276	2.4951087349391e-17	0.552506429999489
RINT1	RINT1	RINT1	0.757559006697157	1.17401104369663e-47	0.990461421580872
HSF2	HSF2	HSF2	0.705789656314834	7.52988648522797e-39	0.878744228899946
MYO9B	MYO9B	MYO9B	0.508214918271936	9.3045726270927e-18	0.560320130930431
ZNF789	ZNF789	ZNF789	0.211305951156139	0.000792092886013488	0.214537940096665
ZNF653	ZNF653	ZNF653	0.682486090329839	1.7449724010651e-35	0.833753083431867
NOL4L	NOL4L	NOL4L	0.0523394366102308	0.410900218021676	0.0523873084937786
DYRK1A	DYRK1A	DYRK1A	0.6589239752141	2.18658072898346e-32	0.79090953222498
NF2	NF2	NF2	0.554912451022166	1.64356837747058e-21	0.62545175967162
ST7L	ST7L	ST7L	0.6392207630794	5.29744373230077e-30	0.756855012121294
NAE1	NAE1	NAE1	0.498395819454656	4.86330262671451e-17	0.547169518707614
TRAM1L1	TRAM1L1	TRAM1L1	0.218735082114673	0.000508182276518859	0.222327243079727
ZNF788	ZNF788	ZNF788	0.653633748090859	9.94052842418938e-32	0.781616835140849
YARS	YARS	YARS	0.600085848857233	9.51665292100151e-26	0.693281330196982
RAB6A	RAB6A	RAB6A	0.573467736355179	3.58224074757831e-23	0.652674600187228
CAMK2G	CAMK2G	CAMK2G	-0.05745580061547	0.366620714026542	-0.0575191499086778
TTC21B	TTC21B	TTC21B	0.474784714741343	2.1013745221113e-15	0.516229528158658
FADD	FADD	FADD	0.465549538777249	8.4864861570736e-15	0.504373259601154
ZMAT5	ZMAT5	ZMAT5	0.550017058729186	4.33620768279526e-21	0.618405770862857
RAPGEF2	RAPGEF2	RAPGEF2	0.280830563243468	6.79468430217326e-06	0.28858351896521
TSEN15	TSEN15	TSEN15	0.892511452913977	2.1957429561664e-87	1.4341378669369
COX10	COX10	COX10	0.919236584023803	5.60776361760919e-102	1.58407934152132
ZFP30	ZFP30	ZFP30	0.651894318195999	1.62471452850261e-31	0.778585931490727
KIAA0101	KIAA0101	KIAA0101	0.43449353656792	6.89107708603825e-13	0.465422702314254
FZD2	FZD2	FZD2	0.157329081129026	0.0129326605437929	0.158646800125639
THRB	THRB	THRB	0.418029043636207	5.94961796031526e-12	0.44530132283203
ZNF700	ZNF700	ZNF700	0.605273328405885	2.80639405854027e-26	0.701427882203063
FAM8A1	FAM8A1	FAM8A1	0.367935331965426	2.12333190545839e-09	0.386033056679148
HIPK2	HIPK2	HIPK2	0.449393720974282	8.83660486014949e-14	0.483940313948716
DLAT	DLAT	DLAT	0.536942227725216	5.36007618645554e-20	0.599849165355938
MRPS31	MRPS31	MRPS31	0.617567489141958	1.41810643457176e-27	0.721063277180294
TMEM116	TMEM116	TMEM116	0.383728199425249	3.70001651754617e-10	0.404424314137561
ANXA6	ANXA6	ANXA6	0.393469786875149	1.20091570583947e-10	0.415898811268222
MEIS3	MEIS3	MEIS3	0.0619925365618416	0.329936913508537	0.0620721341629874
PLCE1	PLCE1	PLCE1	0.27365391355247	1.18483130015788e-05	0.280809270740695
DACT3	DACT3	DACT3	0.0390156757501998	0.540013518334538	0.0390354907034175
LONRF1	LONRF1	LONRF1	0.310083695524276	5.97549425248704e-07	0.320638005747334
MARCH3	MARCH3	MARCH3	0.195925168356932	0.0018947559432927	0.198491512629456
HOXB2	HOXB2	HOXB2	0.258826130963817	3.55999440319971e-05	0.264849842379222
TSC1	TSC1	TSC1	0.260136541181031	3.23859872737366e-05	0.266254853013668
SMARCD1	SMARCD1	SMARCD1	0.564089644897008	2.552749867706e-22	0.638811311262394
DMXL1	DMXL1	DMXL1	0.431486747407238	1.03054159673182e-12	0.461722121115625
UBE2D3	UBE2D3	UBE2D3	0.634298256781951	1.96295685016836e-29	0.748575349255668
ITIH5	ITIH5	ITIH5	0.00776541534617252	0.902961221340115	0.00776557144100568
ERICH1	ERICH1	ERICH1	0.581541487306883	6.27692852085813e-24	0.664788761810221
AFAP1L2	AFAP1L2	AFAP1L2	0.306176083806004	8.39837165360069e-07	0.316320461150894
PRSS35	PRSS35	PRSS35	0.111060873280076	0.080272381008827	0.111520910140617
NCAPH	NCAPH	NCAPH	0.468026223482817	5.86055528329119e-15	0.50753993827851
SEC16A	SEC16A	SEC16A	0.573408909116117	3.62735316710051e-23	0.652586951198917
B3GNT7	B3GNT7	B3GNT7	0.118415743800528	0.0620782478536308	0.118973934214539
PPP3CA	PPP3CA	PPP3CA	0.231629066975852	0.000226984309032169	0.235910207251459
GNA11	GNA11	GNA11	0.540954287004199	2.50677359430992e-20	0.605503686347147
PRR5	PRR5	PRR5	0.000482779015525912	0.993952258475269	0.000482779053034011
RNF122	RNF122	RNF122	0.236644401546412	0.000163856514072369	0.241216443448164
FAR1	FAR1	FAR1	0.226442531454276	0.000315626043658704	0.230436521430461
GPS2	GPS2	GPS2	0.42143338395833	3.84639951592648e-12	0.449433686866456
B4GALT5	B4GALT5	B4GALT5	0.338733751480543	4.22625806603905e-08	0.352661464652409
STYX	STYX	STYX	0.650166431963034	2.63843702094229e-31	0.775586954085277
RB1	RB1	RB1	0.410356747410503	1.56198126758011e-11	0.436040133162305
PRDM2	PRDM2	PRDM2	0.483992258870283	5.0076769397557e-16	0.528184719880314
TIGD6	TIGD6	TIGD6	0.730211268317622	9.48141298389543e-43	0.929179811498085
COG4	COG4	COG4	0.774220455728613	5.5925894608802e-51	1.03077868510119
RNF112	RNF112	RNF112	0.697362894073428	1.35186833573023e-37	0.862148334663736
SPOCK2	SPOCK2	SPOCK2	0.165036967006634	0.0090793790655435	0.166560322412972
ADCY4	ADCY4	ADCY4	-0.0178246029315526	0.779573814619963	-0.0178264910147964
JMJD1C	JMJD1C	JMJD1C	0.398260613755419	6.81164458243171e-11	0.421579943027664
TPR	TPR	TPR	0.856581181521495	6.29192064090263e-73	1.28036142534812
HTRA1	HTRA1	HTRA1	0.136326871479003	0.0315214522581098	0.137180961559782
BMPR2	BMPR2	BMPR2	0.485142073928892	4.17380013933612e-16	0.529687364221149
CYP26B1	CYP26B1	CYP26B1	0.209073116619861	0.000902509907585346	0.212201898953305
MINA	MINA	MINA	0.296714704124838	1.87648464067722e-06	0.305913279187581
AUH	AUH	AUH	0.836521845995568	1.76898363912479e-66	1.20947469694079
TLR1	TLR1	TLR1	0.0999044978581468	0.115841468312986	0.100238881851399
SDCCAG8	SDCCAG8	SDCCAG8	0.664907093378491	3.80004681990704e-33	0.801558387255572
RNF6	RNF6	RNF6	0.635886671947437	1.28967028233413e-29	0.751237541676775
SRPK2	SRPK2	SRPK2	0.619757529112298	8.21749841485315e-28	0.724611306560113
CREBRF	CREBRF	CREBRF	0.565658923162625	1.84578613467225e-22	0.641115967373862
REPS1	REPS1	REPS1	0.830802161349336	8.46933284172304e-65	1.19072040808481
CCT3	CCT3	CCT3	0.570502400198435	6.71074447151649e-23	0.648267347112921
ETAA1	ETAA1	ETAA1	0.365349289884897	2.80170877664635e-09	0.383045390084288
CHD6	CHD6	CHD6	0.283163446052029	5.65209291207575e-06	0.291117946884702
ZNF827	ZNF827	ZNF827	0.169015636317455	0.00752079715514898	0.170653179388445
LYZ	LYZ	LYZ	-0.045150257915384	0.478178069517312	-0.0451809757854115
IFT140	IFT140	IFT140	0.308334636655219	6.96310317858012e-07	0.318704039021691
TKT	TKT	TKT	0.315225863267736	3.78951437208629e-07	0.326337316254938
BRF1	BRF1	BRF1	0.547879709912967	6.59028977404473e-21	0.615346535709161
TSPAN14	TSPAN14	TSPAN14	0.387172852591177	2.49591413017161e-10	0.408470058928196
SERINC3	SERINC3	SERINC3	0.547792871848835	6.70290657299637e-21	0.615222459245631
ATXN1	ATXN1	ATXN1	0.398792416981917	6.39251551014334e-11	0.42221215657496
CRYAB	CRYAB	CRYAB	0.170962815019136	0.00684875319234243	0.172658299422998
ATXN7	ATXN7	ATXN7	0.528026110931562	2.79972979521466e-19	0.587404196800678
GLRX3	GLRX3	GLRX3	0.760751832928	2.84560379259505e-48	0.997997402727543
ZNF202	ZNF202	ZNF202	0.579265675967541	1.03058494956388e-23	0.661356840382236
HIPK3	HIPK3	HIPK3	0.317452378683258	3.10299415358426e-07	0.328811417551142
DCN	DCN	DCN	0.320467547828036	2.36104987603012e-07	0.332168082207744
TMEM11	TMEM11	TMEM11	0.915821479915202	7.51990818161531e-100	1.562480999023
MTMR4	MTMR4	MTMR4	0.459489879217362	2.07344607866544e-14	0.496664447048112
EEF1A1P5	EEF1A1P5	EEF1A1P5	-0.00224720030315146	0.971855002883501	-0.00224720408588211
TEX2	TEX2	TEX2	0.503797711075959	1.97088228626713e-17	0.554382655348074
STK11	STK11	STK11	0.82174995450561	2.89802436915085e-62	1.16218275852756
SPG21	SPG21	SPG21	0.50604337090472	1.34751572205668e-17	0.557396744353338
ENTPD1	ENTPD1	ENTPD1	-0.134342947466602	0.0341036926424091	-0.135160022244794
SERINC2	SERINC2	SERINC2	0.145656472065974	0.0214975413793434	0.146699859651538
YWHAE	YWHAE	YWHAE	0.732220099386128	4.33584533996268e-43	0.933496891247708
RCE1	RCE1	RCE1	0.462449250538747	1.34332062169813e-14	0.50042235243526
DDB1	DDB1	DDB1	0.524229307660072	5.57789673427884e-19	0.582154094947748
RHOJ	RHOJ	RHOJ	0.300879991596141	1.32176346792337e-06	0.31048690885871
NDUFS8	NDUFS8	NDUFS8	0.311242502118653	5.39667518208828e-07	0.321920597476424
TMEM138	TMEM138	TMEM138	0.409565798315758	1.72300921766996e-11	0.435089395100145
TPD52L1	TPD52L1	TPD52L1	0.0879816393032579	0.166350336328429	0.0882097147092537
FAF1	FAF1	FAF1	0.592217996928374	5.81669074484587e-25	0.681075282179551
CCAR2	CCAR2	CCAR2	0.693956902655056	4.22233194857837e-37	0.855548250342425
POLR3H	POLR3H	POLR3H	0.550288198218942	4.1110703667431e-21	0.618794594928117
DNM1	DNM1	DNM1	0.403234850455899	3.74418294161732e-11	0.427505903037449
PTOV1	PTOV1	PTOV1	0.279512259464752	7.5341840830204e-06	0.287152918463485
STX5	STX5	STX5	0.414941903466928	8.7991450371117e-12	0.441566299500024
SLC39A11	SLC39A11	SLC39A11	0.386932921488727	2.56568290042649e-10	0.408187850143003
TMCO1	TMCO1	TMCO1	0.82196879726641	2.52662219107397e-62	1.1628570604739
CCAR1	CCAR1	CCAR1	0.322997991648594	1.87284468091493e-07	0.334990703316001
DPP9	DPP9	DPP9	0.378341347437569	6.78608750132312e-10	0.398122490555309
ACO1	ACO1	ACO1	0.584771592681409	3.08466258454748e-24	0.669683411227386
DHX9	DHX9	DHX9	0.509344734536206	7.66587168794128e-18	0.56184455539164
CCRN4L	CCRN4L	CCRN4L	0.357311070199133	6.52999864403021e-09	0.373800019803207
PRKAR2A	PRKAR2A	PRKAR2A	0.59179588877424	6.40101361218312e-25	0.680425412847006
CCDC134	CCDC134	CCDC134	0.304009200580901	1.01216069745984e-06	0.313931178550147
MXD4	MXD4	MXD4	0.456170527091771	3.35723152796178e-14	0.492464806679166
NIPSNAP3A	NIPSNAP3A	NIPSNAP3A	0.306843536799932	7.926781727205e-07	0.317057122211142
RPLP0	RPLP0	RPLP0	0.507226098280094	1.10173262893185e-17	0.558987883882691
PVRL2	PVRL2	PVRL2	0.32503386616962	1.55199667380955e-07	0.337265389978129
MDGA1	MDGA1	MDGA1	0.495241591047614	8.18082177375863e-17	0.542981577719791
WDR12	WDR12	WDR12	0.414873274354793	8.87562450973886e-12	0.441483399250133
TMEM50B	TMEM50B	TMEM50B	0.589698072489186	1.02791696164614e-24	0.677203044210396
DLG4	DLG4	DLG4	0.22330784896691	0.000383838877263886	0.227134875207043
NRP1	NRP1	NRP1	0.376976630032976	7.89939425016989e-10	0.396530748430767
RNF216P1	RNF216P1	RNF216P1	0.68612428898996	5.46073024521849e-36	0.840595385683367
ZFAND5	ZFAND5	ZFAND5	0.542751797999259	1.77748333008123e-20	0.608048313794924
DENND4C	DENND4C	DENND4C	0.380916002767976	5.08532429353712e-10	0.401130683160964
IFI44L	IFI44L	IFI44L	0.0442987686959688	0.486524537692308	0.0443277798815474
DROSHA	DROSHA	DROSHA	0.687553381441371	3.44381538060745e-36	0.843300710860265
HSPBP1	HSPBP1	HSPBP1	0.433868223556722	7.49510139941577e-13	0.464652125474637
VEGFA	VEGFA	VEGFA	0.439805993933411	3.35149296302375e-13	0.471990246960474
CORO1C	CORO1C	CORO1C	0.247351954606214	7.98052302876612e-05	0.252590215791788
CD34	CD34	CD34	-0.1081383589424	0.0886045097387132	-0.108562861287944
GATAD1	GATAD1	GATAD1	0.626048104623434	1.67338646294005e-28	0.734890353577587
COPA	COPA	COPA	0.925085614721444	7.53463761155214e-106	1.6231898945185
UBE4B	UBE4B	UBE4B	0.522582486379199	7.50153091123459e-19	0.579885888853849
NIN	NIN	NIN	0.517618300705655	1.81485548947778e-18	0.573080884809672
SYNM	SYNM	SYNM	0.184076848424182	0.0035566752935069	0.186199272781287
MCC	MCC	MCC	0.254470340931652	4.8582491344622e-05	0.260186902920684
SLC37A3	SLC37A3	SLC37A3	0.585467585056095	2.64408625356246e-24	0.670741737556973
SEPT7	SEPT7	SEPT7	0.715351086067035	2.50500938263455e-40	0.898058256807024
DRG2	DRG2	DRG2	0.822630768758107	1.66676728450653e-62	1.16490130085578
TGIF1	TGIF1	TGIF1	0.450612353143754	7.4368563320867e-14	0.485468385080284
MPND	MPND	MPND	0.301997159457868	1.20206934991461e-06	0.311715734395729
JAM3	JAM3	JAM3	0.401448055152713	4.64740648690251e-11	0.425373996605072
SLC26A11	SLC26A11	SLC26A11	0.458491662763969	2.39811467044362e-14	0.495399805051297
PRPSAP1	PRPSAP1	PRPSAP1	0.576473662107359	1.88355292386917e-23	0.657165034558473
CXXC1	CXXC1	CXXC1	0.692693930380431	6.41523088773217e-37	0.853116180019205
RNF14	RNF14	RNF14	0.651711070562498	1.71069932184247e-31	0.778267324862334
AP4M1	AP4M1	AP4M1	0.439068711358155	3.70690062373012e-13	0.471076518622779
PPM1B	PPM1B	PPM1B	0.313570190702131	4.39213166762944e-07	0.324500034959203
MICU2	MICU2	MICU2	0.718800887634331	7.08772429255261e-41	0.905159582495149
PIEZO2	PIEZO2	PIEZO2	0.306927307412365	7.86941587155847e-07	0.317149602492873
SDHD	SDHD	SDHD	0.578632379353367	1.18224535404135e-23	0.66040425382779
VPS26A	VPS26A	VPS26A	0.693523912654943	4.87458129573362e-37	0.854713529266178
CLEC2D	CLEC2D	CLEC2D	0.113702577283094	0.0732963396251503	0.114196406365907
CTNNBL1	CTNNBL1	CTNNBL1	0.528546389651022	2.54566937458478e-19	0.588125890404049
ZC3H11A	ZC3H11A	ZC3H11A	0.568610016442303	9.98418695318745e-23	0.645466325561641
TMEM99	TMEM99	TMEM99	0.387904260098927	2.29440598166258e-10	0.409330726894847
WDR11	WDR11	WDR11	0.520816012491011	1.02897330513733e-18	0.577458844457925
NR4A2	NR4A2	NR4A2	0.133314216225219	0.0355119931849012	0.134112530228725
USP33	USP33	USP33	0.518144258830183	1.65381199441871e-18	0.573799604266398
CDKN1A	CDKN1A	CDKN1A	0.0785881537685025	0.216543151407699	0.0787505453398323
DDX1	DDX1	DDX1	0.667769983497137	1.6214334302354e-33	0.806707562004452
ZCCHC14	ZCCHC14	ZCCHC14	0.359626975429146	5.12953274098735e-09	0.376457400440472
YLPM1	YLPM1	YLPM1	0.593175749780866	4.67866392817436e-25	0.682551677788006
CCDC101	CCDC101	CCDC101	0.404152548773352	3.34916241277902e-11	0.428602275835088
WNT9A	WNT9A	WNT9A	0.15371238626673	0.0151914936096413	0.154940456609145
TMED8	TMED8	TMED8	0.558860453121301	7.42879277592367e-22	0.631174548160759
LAMA3	LAMA3	LAMA3	0.354616358193514	8.62665810050986e-09	0.370714314632825
OXNAD1	OXNAD1	OXNAD1	0.509790263356072	7.10065112973604e-18	0.562446344115267
SAAL1	SAAL1	SAAL1	0.537661012757893	4.68125934533542e-20	0.600859678648027
FAM129A	FAM129A	FAM129A	0.213479787226651	0.000696692590176036	0.216814473310221
USP25	USP25	USP25	0.494923993695327	8.61807728997474e-17	0.542560859355278
GPATCH2L	GPATCH2L	GPATCH2L	0.390074779669422	1.78503033769067e-10	0.411888231485176
PEX1	PEX1	PEX1	0.452089714994425	6.02824800020796e-14	0.487323710305106
PTPN14	PTPN14	PTPN14	0.40609339627968	2.64266447565359e-11	0.430924211449845
TPM3	TPM3	TPM3	0.214159159365546	0.000669128958808419	0.217526393599696
NT5M	NT5M	NT5M	0.761625063743526	1.92377748343629e-48	1.00007359859212
CCNB1	CCNB1	CCNB1	0.291188634737387	2.96215005874203e-06	0.299864530854404
CPSF3	CPSF3	CPSF3	0.479855623470957	9.5892607807181e-16	0.522796695040502
MNAT1	MNAT1	MNAT1	0.628547325388516	8.80260629787894e-29	0.73901110949208
CC2D1B	CC2D1B	CC2D1B	0.819763524660458	9.97780457287892e-62	1.15609604978207
COG3	COG3	COG3	0.60866484728414	1.24778858321591e-26	0.706797732815234
RPL13AP20	RPL13AP20	RPL13AP20	0.0436990086096351	0.492450157577928	0.043726856448062
PPP1R9B	PPP1R9B	PPP1R9B	0.445999269258759	1.42343910972176e-13	0.479694945795552
LIMD2	LIMD2	LIMD2	0.0710556147998624	0.263990303814683	0.0711755626133429
ABRACL	ABRACL	ABRACL	0.653656761088066	9.87591086223422e-32	0.781657015118763
TUBG1	TUBG1	TUBG1	0.388760380334811	2.07856022865716e-10	0.410338878506193
INTS5	INTS5	INTS5	0.538002795119975	4.38884310090578e-20	0.601340563208466
IGF2	IGF2	IGF2	-0.017438578816797	0.784228833494242	-0.017440346853447
STRN4	STRN4	STRN4	0.536370071836322	5.96873523153718e-20	0.599045575743397
